Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Mobile,,,,03-04-2024 14:57:18,03-04-2024 14:58:56,1m - 38.804s,FAILED
,,,,,,,
Test Cases/Mobile/Verify_SuccessfulViewRecentsNews,,,,03-04-2024 14:57:18,03-04-2024 14:58:56,1m - 38.585s,FAILED
"callTestCase(findTestCase(""Mobile/Verify_SuccesfulLogin""), [:], STOP_ON_FAILURE)",,,,03-04-2024 14:57:18,03-04-2024 14:58:46,1m - 28.148s,PASSED
delay(3),,,,03-04-2024 14:58:46,03-04-2024 14:58:49,3.016s,PASSED
"verifyElementExist(findTestObject(""MobileAndroid/RecentNews/verify_recentNews""), 5)",,,,03-04-2024 14:58:49,03-04-2024 14:58:56,7.158s,FAILED
